job_id,job_title_short,job_title,job_location,job_schedule_type,company_name, salary_year_avg ,job_posted_date
17458,Business Analyst,Senior Economy Designer,Anywhere,Full-time,Harnham," $190,000 ",2023/06/21 18:11
1069582,Business Analyst,Analyst,Anywhere,Full-time,Multicoin Capital," $200,000 ",2023/12/21 13:01
998056,Business Analyst,Analyst,Anywhere,Full-time,Multicoin Capital," $200,000 ",2023/10/04 11:01
112859,Business Analyst,"Manager II, Applied Science - Marketplace Dynamics",Anywhere,Full-time,Uber," $214,500 ",2023/12/18 8:02
502610,Business Analyst,Lead Business Intelligence Engineer,Anywhere,Full-time,Noom," $220,000 ",2023/08/29 18:26
168310,Data Analyst,Principal Data Analyst (Remote),Anywhere,Full-time,SmartAsset," $205,000 ",2023/08/09 11:00
1021647,Data Analyst,Data Analyst (Hybrid/Remote),Anywhere,Full-time,Uclahealthcareers," $217,000 ",2023/01/17 0:17
99305,Data Analyst,"Data Analyst, Marketing",Anywhere,Full-time,Pinterest Job Advertisements," $232,423 ",2023/12/05 20:00
552322,Data Analyst,Associate Director- Data Insights,Anywhere,Full-time,AT&T," $255,830 ",2023/06/18 16:03
547382,Data Analyst,Director of Analytics,Anywhere,Full-time,Meta," $336,500 ",2023/08/23 12:04
